TransactionID,CustomerID,Date,Amount,TransactionType,AccountBalance,Branch
TXN00056,CUST0009,2025-03-11,1835.8,Debit,9146.86,Leeds
TXN00057,CUST0090,2025-01-18,588.1,Debit,4136.92,Glasgow
TXN00058,CUST0053,2025-03-24,945.28,Debit,6491.04,London
TXN00059,CUST0130,2025-01-22,1781.38,Debit,4586.36,London
TXN00060,CUST0084,2025-02-06,1418.37,Debit,4658.77,Birmingham
TXN00061,CUST0092,2025-02-25,133.78,Credit,3448.52,Leeds
TXN00062,CUST0111,2025-02-28,303.13,Credit,7740.23,Birmingham
TXN00063,CUST0188,2025-01-03,25.6,Debit,9393.68,Leeds
TXN00064,CUST0199,2025-01-28,1265.53,Credit,9437.13,Birmingham
TXN00065,CUST0172,2025-03-15,900.87,Debit,2160.42,Leeds
TXN00066,CUST0008,2025-02-04,277.21,Credit,8810.06,Birmingham
TXN00067,CUST0175,2025-03-02,1916.29,Debit,7505.6,Leeds
TXN00068,CUST0035,2025-02-23,1064.02,Credit,2901.96,Birmingham
TXN00069,CUST0081,2025-03-04,491.37,Credit,1139.2,London
TXN00070,CUST0164,2025-03-20,1006.2,Credit,3045.97,Glasgow
TXN00071,CUST0050,2025-01-07,1362.44,Credit,9165.98,Birmingham
TXN00072,CUST0104,2025-03-17,161.72,Credit,6515.2,Glasgow
TXN00073,CUST0132,2025-02-18,556.66,Debit,7350.02,London
TXN00074,CUST0002,2025-03-26,1615.86,Debit,2942.95,London
TXN00075,CUST0134,2025-01-31,924.73,Debit,7334.19,Leeds
TXN00076,CUST0054,2025-02-27,1097.69,Credit,767.15,Glasgow
TXN00077,CUST0106,2025-03-02,871.3,Debit,4065.55,Manchester
TXN00078,CUST0004,2025-01-24,97.36,Credit,6454.16,Leeds
TXN00079,CUST0054,2025-01-20,339.84,Credit,1887.92,Glasgow
TXN00080,CUST0191,2025-02-06,896.63,Credit,8318.53,Birmingham
TXN00081,CUST0146,2025-01-04,426.28,Debit,2732.8,Birmingham
TXN00082,CUST0044,2025-01-20,109.46,Credit,6696.67,London
TXN00083,CUST0162,2025-03-01,1688.86,Debit,4349.37,Manchester
TXN00084,CUST0190,2025-01-24,1962.57,Debit,6162.41,Birmingham
TXN00085,CUST0014,2025-02-19,1588.35,Credit,1520.78,Glasgow
TXN00086,CUST0095,2025-02-18,1709.03,Credit,660.67,Glasgow
TXN00087,CUST0048,2025-02-20,491.53,Debit,9140.86,Birmingham
TXN00088,CUST0015,2025-02-05,1921.65,Debit,3061.49,Glasgow
TXN00089,CUST0200,2025-03-07,401.88,Debit,8286.93,Glasgow
TXN00090,CUST0190,2025-03-20,1903.35,Debit,9993.83,London
TXN00091,CUST0040,2025-02-03,1989.69,Debit,2508.6,Manchester
TXN00092,CUST0082,2025-02-05,1426.33,Debit,3019.12,London
TXN00093,CUST0111,2025-01-06,1962.48,Credit,6797.17,Manchester
TXN00094,CUST0053,2025-02-08,1143.38,Debit,9671.76,Glasgow
TXN00095,CUST0024,2025-02-11,526.49,Debit,9200.24,Manchester
TXN00096,CUST0154,2025-02-27,879.62,Debit,5277.32,Glasgow
TXN00097,CUST0188,2025-01-12,1191.19,Debit,8053.55,Glasgow
TXN00098,CUST0124,2025-01-03,155.43,Credit,1789.59,London
TXN00099,CUST0041,2025-01-18,1248.46,Credit,9785.66,London
TXN00100,CUST0157,2025-02-09,1962.54,Debit,9661.36,Leeds
TXN00101,CUST0015,2025-01-21,388.31,Debit,2055.43,Birmingham
TXN00102,CUST0045,2025-01-15,1587.26,Debit,3344.52,Leeds
TXN00103,CUST0065,2025-01-26,1816.72,Credit,1451.47,Leeds
TXN00104,CUST0089,2025-01-08,1887.97,Credit,3081.32,Manchester
TXN00105,CUST0071,2025-03-28,1920.67,Credit,8251.58,Glasgow
TXN00106,CUST0009,2025-02-11,1047.7,Credit,4094.0,Glasgow
TXN00107,CUST0088,2025-02-13,1954.84,Credit,1339.77,Glasgow
TXN00108,CUST0129,2025-01-14,1517.05,Credit,3751.14,Birmingham
TXN00109,CUST0136,2025-03-19,331.73,Debit,9823.14,Manchester
TXN00110,CUST0063,2025-01-02,959.03,Credit,6481.99,Manchester
TXN00111,CUST0139,2025-02-06,1439.48,Credit,4453.53,Glasgow
TXN00112,CUST0081,2025-03-10,502.21,Debit,2082.12,Leeds
TXN00113,CUST0136,2025-02-07,1284.82,Credit,9868.68,Birmingham
TXN00114,CUST0163,2025-02-10,1336.53,Debit,8298.07,Leeds
TXN00115,CUST0163,2025-03-03,333.77,Credit,3174.03,London
TXN00116,CUST0033,2025-03-01,1134.52,Debit,1165.65,Manchester
TXN00117,CUST0123,2025-01-14,1545.54,Debit,1037.94,Manchester
TXN00118,CUST0005,2025-03-30,1002.8,Debit,1643.59,Leeds
TXN00119,CUST0041,2025-03-25,34.09,Debit,6017.3,Birmingham
TXN00120,CUST0028,2025-01-02,27.99,Debit,9323.25,Manchester
TXN00121,CUST0135,2025-03-11,720.49,Credit,5219.06,Leeds
TXN00122,CUST0072,2025-01-17,1853.13,Credit,8507.98,Birmingham
TXN00123,CUST0012,2025-03-30,465.07,Debit,4735.92,Leeds
TXN00124,CUST0162,2025-01-28,1272.38,Debit,7231.54,Birmingham
TXN00125,CUST0033,2025-03-07,451.93,Debit,7452.79,Glasgow
TXN00126,CUST0048,2025-02-04,650.12,Credit,2152.66,Birmingham
TXN00127,CUST0151,2025-01-05,1697.6,Debit,3931.55,London
TXN00128,CUST0062,2025-03-06,1460.43,Debit,6554.37,Glasgow
TXN00129,CUST0037,2025-02-09,199.84,Debit,1171.62,Leeds
TXN00130,CUST0099,2025-03-17,863.12,Debit,3934.63,Glasgow
TXN00131,CUST0172,2025-02-25,68.05,Credit,5580.59,Glasgow
TXN00132,CUST0104,2025-02-05,966.97,Debit,9964.13,Leeds
TXN00133,CUST0035,2025-02-14,1328.24,Debit,5008.07,Leeds
TXN00134,CUST0193,2025-01-23,245.82,Credit,8252.54,London
TXN00135,CUST0101,2025-02-16,584.88,Debit,4604.64,Leeds
TXN00136,CUST0175,2025-01-31,801.69,Debit,8065.71,Manchester
TXN00137,CUST0131,2025-01-11,1839.87,Credit,6156.44,Manchester
TXN00138,CUST0001,2025-01-10,1986.58,Credit,8922.66,London
TXN00139,CUST0005,2025-03-08,99.37,Credit,4403.95,Birmingham
TXN00140,CUST0142,2025-01-14,1524.41,Debit,6240.89,Birmingham
TXN00141,CUST0103,2025-03-21,749.73,Debit,6485.18,Manchester
TXN00142,CUST0027,2025-03-15,790.99,Credit,4465.14,Leeds
TXN00143,CUST0137,2025-01-10,1510.99,Credit,1870.96,London
TXN00144,CUST0015,2025-03-17,1837.67,Credit,1388.81,Birmingham
TXN00145,CUST0090,2025-01-01,1902.35,Debit,658.38,Birmingham
TXN00146,CUST0042,2025-01-05,1158.47,Debit,8798.58,Glasgow
TXN00147,CUST0124,2025-01-20,720.67,Credit,2746.51,Manchester
TXN00148,CUST0179,2025-01-08,1577.22,Debit,2509.31,Leeds
TXN00149,CUST0063,2025-02-12,509.49,Credit,7492.34,London
TXN00150,CUST0096,2025-03-17,1132.51,Debit,3540.15,Birmingham
TXN00151,CUST0052,2025-01-01,723.57,Debit,5307.42,Glasgow
TXN00152,CUST0096,2025-02-26,1316.7,Debit,2043.86,Manchester
TXN00153,CUST0132,2025-03-05,488.39,Debit,9617.58,Manchester
TXN00154,CUST0151,2025-03-25,391.27,Credit,8590.02,London
TXN00155,CUST0143,2025-01-28,1837.3,Debit,8706.0,Birmingham
TXN00156,CUST0171,2025-02-06,212.59,Debit,4364.35,London
TXN00157,CUST0029,2025-02-16,1016.86,Credit,7742.43,London
TXN00158,CUST0036,2025-03-17,449.5,Debit,1866.82,Glasgow
TXN00159,CUST0013,2025-02-06,87.47,Credit,581.88,Manchester
TXN00160,CUST0160,2025-02-18,81.68,Credit,689.74,Leeds
TXN00161,CUST0071,2025-02-13,358.69,Debit,6072.72,Manchester
TXN00162,CUST0187,2025-02-25,1734.87,Debit,4826.25,Manchester
TXN00163,CUST0086,2025-01-28,572.13,Credit,5421.15,Glasgow
TXN00164,CUST0028,2025-03-20,1901.41,Credit,570.9,Leeds
TXN00165,CUST0066,2025-01-06,1167.43,Credit,4515.52,Birmingham
TXN00166,CUST0170,2025-03-02,878.86,Debit,7321.65,Leeds
TXN00167,CUST0045,2025-01-20,1164.38,Credit,4705.59,Birmingham
TXN00168,CUST0062,2025-03-19,1038.23,Credit,7456.08,Leeds
TXN00169,CUST0185,2025-01-02,1519.96,Credit,2713.68,London
TXN00170,CUST0134,2025-03-14,572.17,Debit,8224.85,Leeds
TXN00171,CUST0028,2025-02-06,712.57,Credit,6090.1,Glasgow
TXN00172,CUST0028,2025-01-20,1789.25,Debit,2502.25,Birmingham
TXN00173,CUST0108,2025-01-26,1893.45,Debit,2748.84,Manchester
TXN00174,CUST0044,2025-01-29,1786.19,Credit,6466.29,Glasgow
TXN00175,CUST0084,2025-01-01,844.7,Debit,8384.43,Birmingham
TXN00176,CUST0030,2025-02-04,1562.93,Credit,4448.46,Birmingham
TXN00177,CUST0190,2025-03-11,957.91,Debit,2953.85,Manchester
TXN00178,CUST0075,2025-02-28,1000.1,Debit,8736.61,London
TXN00179,CUST0128,2025-03-10,417.31,Credit,6858.05,Glasgow
TXN00180,CUST0092,2025-02-02,1186.35,Credit,4756.81,Manchester
TXN00181,CUST0190,2025-02-20,380.41,Credit,5135.05,Manchester
TXN00182,CUST0129,2025-03-19,669.81,Debit,2440.44,London
TXN00183,CUST0121,2025-01-12,1711.51,Debit,6454.62,Glasgow
TXN00184,CUST0027,2025-01-20,422.08,Credit,3908.05,Manchester
TXN00185,CUST0190,2025-02-22,151.6,Credit,9958.63,London
TXN00186,CUST0121,2025-03-29,147.33,Debit,5061.74,Glasgow
TXN00187,CUST0116,2025-02-12,1882.16,Debit,5115.91,Leeds
TXN00188,CUST0003,2025-03-30,1018.77,Debit,5875.59,Birmingham
TXN00189,CUST0103,2025-02-19,824.73,Credit,9209.18,London
TXN00190,CUST0198,2025-01-29,1623.65,Debit,8107.77,Birmingham
TXN00191,CUST0200,2025-02-26,1673.29,Credit,4785.74,Leeds
TXN00192,CUST0155,2025-02-08,671.06,Debit,7327.64,Manchester
TXN00193,CUST0137,2025-02-25,1390.3,Debit,6069.24,Manchester
TXN00194,CUST0062,2025-02-12,1544.53,Credit,5177.49,Glasgow
TXN00195,CUST0165,2025-02-19,1312.75,Credit,2327.0,London
TXN00196,CUST0051,2025-01-23,311.67,Credit,4907.39,London
TXN00197,CUST0172,2025-02-13,1753.01,Debit,2835.28,Glasgow
TXN00198,CUST0152,2025-02-07,1082.8,Debit,9191.0,Birmingham
TXN00199,CUST0059,2025-03-25,572.12,Debit,3686.36,Manchester
TXN00200,CUST0118,2025-01-23,856.2,Credit,9546.51,Manchester
TXN00201,CUST0160,2025-02-14,84.77,Debit,5564.03,London
TXN00202,CUST0096,2025-02-21,264.45,Credit,6499.67,London
TXN00203,CUST0180,2025-03-21,1533.44,Credit,5657.93,Glasgow
TXN00204,CUST0113,2025-02-19,10.02,Credit,1729.12,Leeds
TXN00205,CUST0062,2025-01-08,838.97,Debit,4070.3,Birmingham
TXN00206,CUST0186,2025-03-26,1049.8,Debit,1441.89,Leeds
TXN00207,CUST0052,2025-01-01,118.72,Credit,6418.06,Leeds
TXN00208,CUST0012,2025-01-08,1946.43,Debit,4745.3,London
TXN00209,CUST0039,2025-01-29,459.99,Credit,7890.86,London
TXN00210,CUST0130,2025-01-05,615.36,Credit,2594.47,London
TXN00211,CUST0131,2025-03-27,614.85,Debit,2063.38,Leeds
TXN00212,CUST0113,2025-02-16,468.53,Credit,4360.16,Birmingham
TXN00213,CUST0101,2025-02-03,12.93,Credit,9302.56,London
TXN00214,CUST0113,2025-03-06,1461.4,Debit,7249.01,Manchester
TXN00215,CUST0184,2025-02-24,1934.02,Credit,4479.77,Birmingham
TXN00216,CUST0081,2025-03-31,456.34,Credit,5414.09,Manchester
TXN00217,CUST0187,2025-02-12,1329.46,Credit,1300.02,Birmingham
TXN00218,CUST0113,2025-03-15,1486.37,Credit,9853.47,London
TXN00219,CUST0002,2025-01-30,1698.37,Credit,6830.87,Glasgow
TXN00220,CUST0130,2025-03-23,851.03,Credit,3211.34,London
TXN00221,CUST0054,2025-01-17,612.83,Credit,6065.18,Leeds
TXN00222,CUST0087,2025-01-26,657.34,Debit,1540.08,Leeds
TXN00223,CUST0129,2025-01-08,1428.12,Debit,9675.45,Birmingham
TXN00224,CUST0147,2025-02-16,1635.39,Credit,2160.46,Leeds
TXN00225,CUST0126,2025-03-17,371.41,Credit,6656.29,London
TXN00226,CUST0130,2025-03-13,748.17,Debit,2831.82,Manchester
TXN00227,CUST0053,2025-03-30,1804.86,Debit,7316.83,London
TXN00228,CUST0172,2025-02-15,1615.32,Debit,7879.8,Birmingham
TXN00229,CUST0160,2025-03-09,1969.87,Debit,6897.49,Leeds
TXN00230,CUST0198,2025-02-02,1510.95,Debit,6337.74,Manchester
TXN00231,CUST0160,2025-01-01,792.46,Credit,8978.46,Glasgow
TXN00232,CUST0068,2025-01-19,1185.37,Debit,1246.95,Manchester
TXN00233,CUST0183,2025-01-31,1325.42,Debit,3643.69,Manchester
TXN00234,CUST0184,2025-03-21,166.13,Debit,2858.73,London
TXN00235,CUST0123,2025-01-14,1093.55,Credit,9886.13,Glasgow
TXN00236,CUST0145,2025-02-22,1421.55,Credit,4199.2,Birmingham
TXN00237,CUST0038,2025-02-17,342.97,Credit,7459.82,Birmingham
TXN00238,CUST0024,2025-03-10,1563.46,Credit,7004.89,Manchester
TXN00239,CUST0069,2025-03-31,1171.71,Credit,2514.77,Manchester
TXN00240,CUST0116,2025-03-03,1904.92,Credit,2770.48,Leeds
TXN00241,CUST0098,2025-03-07,94.42,Debit,3172.2,Glasgow
TXN00242,CUST0198,2025-03-05,538.0,Credit,4405.71,Manchester
TXN00243,CUST0139,2025-03-11,1207.09,Credit,2726.09,Leeds
TXN00244,CUST0144,2025-03-04,600.15,Debit,686.69,Glasgow
TXN00245,CUST0097,2025-03-14,1431.7,Credit,8854.23,Birmingham
TXN00246,CUST0124,2025-02-02,1520.42,Debit,9673.29,Leeds
TXN00247,CUST0187,2025-02-10,214.01,Debit,3744.92,Glasgow
TXN00248,CUST0070,2025-03-30,1032.57,Credit,3715.82,Leeds
TXN00249,CUST0093,2025-02-17,1022.69,Debit,567.37,Manchester
TXN00250,CUST0003,2025-01-13,744.87,Debit,6962.38,London
TXN00251,CUST0148,2025-03-14,1866.52,Debit,8341.68,Birmingham
TXN00252,CUST0187,2025-03-18,1656.74,Debit,1892.78,Manchester
TXN00253,CUST0164,2025-01-31,1397.45,Credit,2016.83,Manchester
TXN00254,CUST0147,2025-03-16,1431.51,Debit,8005.79,Glasgow
TXN00255,CUST0090,2025-03-09,928.82,Credit,6354.76,Leeds
TXN00256,CUST0195,2025-01-04,1842.78,Debit,926.18,Birmingham
TXN00257,CUST0147,2025-01-19,1392.24,Debit,6414.2,Manchester
TXN00258,CUST0148,2025-03-11,1460.67,Debit,3434.72,Glasgow
TXN00259,CUST0096,2025-03-23,1724.76,Credit,4002.89,Birmingham
TXN00260,CUST0199,2025-01-13,555.4,Credit,7812.45,Leeds
TXN00261,CUST0052,2025-01-23,1616.07,Credit,8203.88,Manchester
TXN00262,CUST0161,2025-03-24,398.53,Debit,4303.39,Manchester
TXN00263,CUST0168,2025-03-16,697.23,Debit,9497.95,Manchester
TXN00264,CUST0128,2025-01-01,677.86,Debit,4361.4,Birmingham
TXN00265,CUST0039,2025-03-29,1957.27,Debit,7832.44,Birmingham
TXN00266,CUST0082,2025-02-23,1714.51,Credit,5096.83,Birmingham
TXN00267,CUST0104,2025-03-12,1405.33,Debit,9026.56,Birmingham
TXN00268,CUST0129,2025-03-30,1456.84,Credit,9123.73,Glasgow
TXN00269,CUST0011,2025-03-26,1128.52,Debit,1330.46,London
TXN00270,CUST0185,2025-01-15,1894.71,Credit,9396.69,Glasgow
TXN00271,CUST0178,2025-03-06,997.55,Credit,8342.58,Manchester
TXN00272,CUST0151,2025-03-17,767.23,Debit,8017.45,Glasgow
TXN00273,CUST0159,2025-03-12,334.44,Debit,2408.66,Leeds
TXN00274,CUST0042,2025-01-15,1574.55,Credit,8148.63,Birmingham
TXN00275,CUST0099,2025-01-21,1471.54,Debit,8576.26,Leeds
TXN00276,CUST0007,2025-01-19,774.87,Debit,3246.93,Leeds
TXN00277,CUST0144,2025-03-01,60.13,Credit,9546.47,Manchester
TXN00278,CUST0090,2025-03-30,1679.6,Credit,973.67,Birmingham
TXN00279,CUST0112,2025-02-02,32.72,Credit,1924.14,Leeds
TXN00280,CUST0060,2025-02-18,1410.36,Credit,5607.02,Manchester
TXN00281,CUST0113,2025-02-04,1940.81,Debit,5970.03,Birmingham
TXN00282,CUST0002,2025-02-13,880.95,Credit,6628.93,London
TXN00283,CUST0129,2025-03-31,477.6,Credit,661.21,Manchester
TXN00284,CUST0048,2025-01-11,1412.69,Credit,9623.48,Glasgow
TXN00285,CUST0140,2025-03-13,1636.09,Debit,923.59,Birmingham
TXN00286,CUST0197,2025-03-19,1097.4,Credit,1859.09,Leeds
TXN00287,CUST0037,2025-03-15,1934.4,Debit,633.14,Leeds
TXN00288,CUST0160,2025-03-07,112.82,Credit,5885.16,Glasgow
TXN00289,CUST0009,2025-02-15,1014.54,Credit,9356.54,Glasgow
TXN00290,CUST0099,2025-01-09,1439.72,Debit,6826.5,Leeds
TXN00291,CUST0147,2025-01-03,1726.65,Credit,8315.25,Birmingham
TXN00292,CUST0048,2025-03-26,366.72,Credit,626.17,Manchester
TXN00293,CUST0131,2025-01-26,1602.01,Debit,5649.15,Glasgow
TXN00294,CUST0148,2025-03-13,1109.89,Credit,4865.85,Glasgow
TXN00295,CUST0152,2025-02-17,799.14,Credit,5240.2,Glasgow
TXN00296,CUST0054,2025-03-07,272.11,Credit,1186.03,London
TXN00297,CUST0120,2025-03-11,1731.94,Credit,7002.14,Birmingham
TXN00298,CUST0161,2025-01-28,322.97,Debit,5280.59,Birmingham
TXN00299,CUST0152,2025-01-26,626.48,Credit,7768.91,Birmingham
TXN00300,CUST0116,2025-01-25,587.19,Debit,5110.26,Birmingham
TXN00301,CUST0075,2025-01-12,1744.11,Credit,1919.13,Birmingham
TXN00302,CUST0113,2025-01-05,1348.68,Debit,6658.44,Leeds
TXN00303,CUST0200,2025-02-17,1595.4,Credit,2137.67,Glasgow
TXN00304,CUST0164,2025-02-06,508.43,Debit,8787.75,Leeds
TXN00305,CUST0166,2025-03-20,1253.5,Credit,6324.6,London
TXN00306,CUST0104,2025-02-13,1147.77,Debit,1993.44,Manchester
TXN00307,CUST0084,2025-01-15,1667.33,Debit,9642.21,Glasgow
TXN00308,CUST0112,2025-02-12,1813.11,Credit,5424.47,London
TXN00309,CUST0099,2025-02-17,34.19,Debit,1192.54,Leeds
TXN00310,CUST0153,2025-03-28,1351.3,Credit,6454.91,Manchester
TXN00311,CUST0093,2025-03-11,113.15,Credit,2905.39,London
TXN00312,CUST0146,2025-02-15,1102.23,Credit,8135.09,Manchester
TXN00313,CUST0128,2025-02-12,582.39,Credit,8269.31,London
TXN00314,CUST0110,2025-01-21,620.49,Credit,9800.0,Leeds
TXN00315,CUST0082,2025-01-23,712.39,Debit,5267.76,Manchester
TXN00316,CUST0194,2025-03-21,1246.37,Credit,4822.09,London
TXN00317,CUST0054,2025-02-16,674.76,Credit,7658.02,Leeds
TXN00318,CUST0163,2025-01-15,1468.07,Credit,1758.47,Glasgow
TXN00319,CUST0189,2025-01-25,815.01,Credit,5695.7,Leeds
TXN00320,CUST0169,2025-02-05,146.02,Credit,5689.35,Leeds
TXN00321,CUST0161,2025-03-16,1569.68,Credit,1349.99,Glasgow
TXN00322,CUST0068,2025-02-20,578.66,Debit,4470.85,Leeds
TXN00323,CUST0033,2025-01-15,871.21,Debit,8606.21,Glasgow
TXN00324,CUST0142,2025-03-09,1374.03,Credit,8633.46,Glasgow
TXN00325,CUST0021,2025-01-21,671.59,Debit,1442.76,Glasgow
TXN00326,CUST0048,2025-01-13,122.61,Credit,1361.85,London
TXN00327,CUST0148,2025-03-27,754.1,Credit,2995.61,Manchester
TXN00328,CUST0128,2025-01-19,1889.45,Credit,8810.28,London
TXN00329,CUST0136,2025-02-03,1287.05,Credit,1724.57,Glasgow
TXN00330,CUST0135,2025-03-19,1346.24,Credit,7339.97,Manchester
TXN00331,CUST0195,2025-03-09,1268.24,Debit,1461.07,Manchester
TXN00332,CUST0145,2025-02-21,405.99,Debit,6419.81,Glasgow
TXN00333,CUST0128,2025-01-27,842.48,Debit,3882.64,Manchester
TXN00334,CUST0033,2025-01-29,1504.37,Debit,7994.68,Manchester
TXN00335,CUST0176,2025-01-28,211.73,Credit,2720.06,London
TXN00336,CUST0187,2025-02-04,562.93,Debit,6572.42,Manchester
TXN00337,CUST0115,2025-01-08,559.88,Credit,2738.98,Glasgow
TXN00338,CUST0119,2025-01-16,869.72,Debit,7279.77,Birmingham
TXN00339,CUST0022,2025-02-05,1960.93,Debit,8799.94,Birmingham
TXN00340,CUST0158,2025-01-30,144.33,Debit,1704.62,Birmingham
TXN00341,CUST0038,2025-01-18,1042.21,Debit,8732.66,Glasgow
TXN00342,CUST0109,2025-01-02,366.94,Credit,6138.96,Birmingham
TXN00343,CUST0051,2025-02-18,1941.65,Debit,1707.55,London
TXN00344,CUST0182,2025-03-18,235.47,Debit,4561.65,Glasgow
TXN00345,CUST0008,2025-01-04,813.17,Credit,2028.17,Glasgow
TXN00346,CUST0027,2025-03-31,1478.39,Credit,7153.3,Glasgow
TXN00347,CUST0027,2025-03-30,1412.06,Debit,7709.25,Manchester
TXN00348,CUST0021,2025-03-16,851.23,Credit,1505.07,Manchester
TXN00349,CUST0030,2025-01-07,699.58,Credit,5308.33,Manchester
TXN00350,CUST0097,2025-03-15,801.25,Credit,8238.94,Leeds
TXN00351,CUST0028,2025-02-08,535.91,Debit,9393.55,London
TXN00352,CUST0111,2025-01-13,418.61,Credit,5378.42,Glasgow
TXN00353,CUST0192,2025-01-31,971.25,Debit,9527.65,Glasgow
TXN00354,CUST0197,2025-03-12,544.38,Debit,5589.05,Manchester
TXN00355,CUST0061,2025-03-04,582.05,Debit,4244.81,Glasgow
TXN00356,CUST0048,2025-02-25,1316.94,Debit,8557.93,Glasgow
TXN00357,CUST0147,2025-02-11,1937.39,Credit,5183.34,Birmingham
TXN00358,CUST0004,2025-03-02,1211.24,Debit,4983.07,Glasgow
TXN00359,CUST0035,2025-02-11,163.19,Credit,5157.97,Leeds
TXN00360,CUST0192,2025-02-25,160.41,Debit,8544.46,Manchester
TXN00361,CUST0049,2025-02-05,1903.33,Credit,8403.44,London
TXN00362,CUST0017,2025-03-25,601.61,Debit,4333.44,London
TXN00363,CUST0172,2025-03-09,193.21,Credit,3666.35,Birmingham
TXN00364,CUST0158,2025-01-07,1202.1,Debit,5173.32,London
TXN00365,CUST0046,2025-02-23,1251.06,Debit,5941.34,London
TXN00366,CUST0117,2025-01-01,1300.52,Credit,2764.2,Manchester
TXN00367,CUST0006,2025-02-13,542.13,Debit,8042.57,Manchester
TXN00368,CUST0099,2025-02-14,40.07,Debit,5121.59,Leeds
TXN00369,CUST0124,2025-02-16,1930.38,Debit,3673.43,Birmingham
TXN00370,CUST0037,2025-01-13,509.28,Credit,1514.8,London
TXN00371,CUST0024,2025-01-22,1355.29,Debit,2769.03,Leeds
TXN00372,CUST0093,2025-01-21,1416.19,Debit,9518.17,Birmingham
TXN00373,CUST0046,2025-03-27,1223.91,Credit,3398.45,London
